Site-YearCode,Transect,Point,Height ,Species,Plant code,Native Status,Life History,Stature
NMS-2012,60.0,12.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,12.0,12.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,16.0,20.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,20.0,0.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,20.0,24.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,28.0,0.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,40.0,28.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,48.0,28.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,56.0,16.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,56.0,20.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2010,68.0,12.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2012,24.0,24.0,Medium,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2012,28.0,24.0,Medium,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NMS-2012,60.0,12.0,Medium,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NUWO-2010,6.0,32.0,Low,Baccharis pilularis,BAPI,Native,Perennial,Shrub
NUWO-2012,5.0,185.0,Low,Baccharis pilularis,BAPI,-,-,-
NMS-2011,0.0,11.0,Low,Bare ground,BG,-,-,-
NMS-2011,4.0,27.0,Low,Bare ground,BG,-,-,-
NMS-2011,4.0,23.0,Low,Bare ground,BG,-,-,-
NMS-2011,4.0,11.0,Low,Bare ground,BG,-,-,-
NMS-2011,4.0,7.0,Low,Bare ground,BG,-,-,-
NMS-2011,4.0,3.0,Low,Bare ground,BG,-,-,-
NMS-2011,12.0,7.0,Low,Bare ground,BG,-,-,-
NMS-2011,12.0,11.0,Low,Bare ground,BG,-,-,-
NMS-2011,16.0,19.0,Low,Bare ground,BG,-,-,-
NMS-2011,20.0,3.0,Low,Bare ground,BG,-,-,-
NMS-2011,20.0,27.0,Low,Bare ground,BG,-,-,-
NMS-2011,24.0,3.0,Low,Bare ground,BG,-,-,-
NMS-2011,64.0,23.0,Low,Bare ground,BG,-,-,-
NMS-2011,64.0,19.0,Low,Bare ground,BG,-,-,-
NMS-2011,64.0,15.0,Low,Bare ground,BG,-,-,-
NMS-2011,60.0,3.0,Low,Bare ground,BG,-,-,-
NMS-2011,60.0,7.0,Low,Bare ground,BG,-,-,-
NMS-2011,60.0,23.0,Low,Bare ground,BG,-,-,-
NMS-2011,-4.0,23.0,Low,Bare ground,BG,-,-,-
NMS-2011,-8.0,15.0,Low,Bare ground,BG,-,-,-
NMS-2011,-8.0,11.0,Low,Bare ground,BG,-,-,-
NMS-2011,40.0,7.0,Low,Bare ground,BG,-,-,-
NMS-2011,40.0,15.0,Low,Bare ground,BG,-,-,-
NMS-2011,32.0,19.0,Low,Bare ground,BG,-,-,-
NMS-2011,32.0,23.0,Low,Bare ground,BG,-,-,-
NMS-2011,28.0,27.0,Low,Bare ground,BG,-,-,-
NMS-2011,28.0,19.0,Low,Bare ground,BG,-,-,-
NMS-2011,28.0,3.0,Low,Bare ground,BG,-,-,-
NMS-2011,48.0,15.0,Low,Bare ground,BG,-,-,-
NMS-2012,16.0,0.0,Low,Bare ground,BG,-,-,-
NMS-2012,20.0,4.0,Low,Bare ground,BG,-,-,-
NMS-2012,40.0,20.0,Low,Bare ground,BG,-,-,-
NMS-2012,44.0,16.0,Low,Bare ground,BG,-,-,-
NMS-2012,44.0,8.0,Low,Bare ground,BG,-,-,-
NMS-2012,48.0,16.0,Low,Bare ground,BG,-,-,-
NMS-2012,68.0,0.0,Low,Bare ground,BG,-,-,-
NMS-2010,0.0,0.0,Low,Bare ground,BG,-,-,-
NMS-2010,4.0,0.0,Low,Bare ground,BG,-,-,-
NMS-2010,8.0,-3.0,Low,Bare ground,BG,-,-,-
NMS-2010,8.0,12.0,Low,Bare ground,BG,-,-,-
NMS-2010,8.0,16.0,Low,Bare ground,BG,-,-,-
NMS-2010,12.0,-3.0,Low,Bare ground,BG,-,-,-
NMS-2010,12.0,0.0,Low,Bare ground,BG,-,-,-
NMS-2010,12.0,8.0,Low,Bare ground,BG,-,-,-
NMS-2010,16.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,20.0,4.0,Low,Bare ground,BG,-,-,-
NMS-2010,24.0,0.0,Low,Bare ground,BG,-,-,-
NMS-2010,24.0,24.0,Low,Bare ground,BG,-,-,-
NMS-2010,32.0,8.0,Low,Bare ground,BG,-,-,-
NMS-2010,32.0,20.0,Low,Bare ground,BG,-,-,-
NMS-2010,32.0,24.0,Low,Bare ground,BG,-,-,-
